"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
2.036141049E0	1.259999990E0	2.243999863E1	-4.050000000E1	4.631836718E1
2.046171915E0	4.799999893E-1	2.237999916E1	-4.050000000E1	4.627466653E1
2.056202781E0	2.999999821E-1	2.255999947E1	-4.073999786E1	4.657028024E1
2.066233681E0	0.000000000E0	2.303999901E1	-4.163999939E1	4.758919104E1
2.076264547E0	-8.399999738E-1	2.303999901E1	-4.211999893E1	4.801709554E1
2.086295447E0	-4.199999869E-1	2.285999870E1	-4.254000092E1	4.829500615E1
2.096326313E0	-5.999999642E-1	2.261999893E1	-4.254000092E1	4.818377351E1
2.106357213E0	-1.019999981E0	2.261999893E1	-4.223999786E1	4.792621591E1
2.116388046E0	-8.999999762E-1	2.279999924E1	-4.170000076E1	4.753461927E1
2.126418879E0	-8.399999738E-1	2.237999916E1	-4.091999817E1	4.664778894E1
2.136449545E0	-2.999999821E-1	2.237999916E1	-4.068000031E1	4.643077414E1
2.146480411E0	5.399999619E-1	2.219999886E1	-4.025999832E1	4.597824501E1
2.156477944E0	5.399999619E-1	2.171999931E1	-3.995999908E1	4.548462924E1
2.166475510E0	1.019999981E0	2.226000023E1	-4.013999939E1	4.591042976E1
2.176473076E0	8.399999738E-1	2.243999863E1	-3.989999771E1	4.578502982E1
2.186470609E0	5.399999619E-1	2.237999916E1	-4.007999802E1	4.590819321E1
2.196468175E0	7.199999690E-1	2.184000015E1	-4.037999725E1	4.591348587E1
2.206465708E0	4.199999869E-1	2.135999870E1	-4.050000000E1	4.578947417E1
2.216463274E0	2.399999946E-1	2.111999893E1	-4.025999832E1	4.546404535E1
2.226454174E0	2.999999821E-1	2.076000023E1	-4.013999939E1	4.519167136E1
2.236451807E0	4.199999869E-1	2.142000008E1	-3.984000015E1	4.523514580E1
2.246449373E0	4.799999893E-1	2.177999878E1	-3.941999817E1	4.503926068E1
2.256446939E0	3.599999845E-1	2.195999908E1	-3.965999985E1	4.533527046E1
2.266444505E0	2.999999821E-1	2.237999916E1	-3.965999985E1	4.553976230E1
2.276442038E0	5.999999866E-2	2.226000023E1	-4.007999802E1	4.584667328E1
2.286439604E0	-1.199999973E-1	2.231999969E1	-4.073999786E1	4.645367814E1
2.296437137E0	2.399999946E-1	2.184000015E1	-4.073999786E1	4.622543275E1
2.306434703E0	1.199999973E-1	2.153999901E1	-4.043999863E1	4.581898565E1
2.316432269E0	5.999999642E-1	2.177999878E1	-4.002000046E1	4.556675085E1
2.326429835E0	4.799999893E-1	2.189999962E1	-3.971999741E1	4.535987850E1
2.336427401E0	5.999999866E-2	2.202000046E1	-3.954000092E1	4.525810085E1
2.346424967E0	1.799999923E-1	2.207999992E1	-4.007999802E1	4.575986274E1
2.356422533E0	1.199999973E-1	2.189999962E1	-4.020000076E1	4.577842772E1
2.366420066E0	3.599999845E-1	2.129999924E1	-3.995999908E1	4.528378401E1
