"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.280252610E-1	-7.661679387E-2	-8.140534163E-2	9.859623909E0	9.860257633E0
3.300267940E-1	-8.379961550E-2	-7.422251999E-2	9.854835510E0	9.855471287E0
3.320282270E-1	-8.858817071E-2	-7.901106775E-2	9.850046158E0	9.850761388E0
3.340295600E-1	-7.422251999E-2	-7.661679387E-2	9.854835510E0	9.855412830E0
3.360306260E-1	-6.225114316E-2	-8.619388938E-2	9.864412308E0	9.864985290E0
3.380319590E-1	-5.985686928E-2	-8.379961550E-2	9.859623909E0	9.860161705E0
3.400332920E-1	-4.788549617E-2	-8.140534163E-2	9.857229233E0	9.857681675E0
3.420373580E-1	-6.943397224E-2	-8.140534163E-2	9.864412308E0	9.864992554E0
3.440386910E-1	-6.225114316E-2	-7.901106775E-2	9.871595383E0	9.872107848E0
3.460400240E-1	-6.703969836E-2	-9.337671846E-2	9.854835510E0	9.855505896E0
3.480413900E-1	-5.985686928E-2	-6.943397224E-2	9.854835510E0	9.855261887E0
3.500424560E-1	-6.943397224E-2	-7.661679387E-2	9.864412308E0	9.864954201E0
3.520435220E-1	-6.703969836E-2	-8.140534163E-2	9.857229233E0	9.857793328E0
3.540471220E-1	-6.225114316E-2	-7.422251999E-2	9.852440834E0	9.852917059E0
3.560484550E-1	-4.788549617E-2	-7.182824612E-2	9.857229233E0	9.857607238E0
3.580542210E-1	-5.985686928E-2	-7.422251999E-2	9.862017632E0	9.862478572E0
3.600555870E-1	-7.422251999E-2	-7.901106775E-2	9.869200706E0	9.869796063E0
3.620572200E-1	-9.337671846E-2	-8.619388938E-2	9.859623909E0	9.860442801E0
3.640588200E-1	-9.337671846E-2	-9.577099234E-2	9.864412308E0	9.865319127E0
3.660601860E-1	-7.901106775E-2	-9.337671846E-2	9.854835510E0	9.855594599E0
3.680615190E-1	-5.746259540E-2	-9.098244458E-2	9.862017632E0	9.862604703E0
3.700568850E-1	-5.506832153E-2	-8.379961550E-2	9.866806030E0	9.867315549E0
3.720633180E-1	-6.225114316E-2	-8.619388938E-2	9.859623909E0	9.860197169E0
3.740646510E-1	-6.464541703E-2	-8.140534163E-2	9.847652435E0	9.848201072E0
3.760662510E-1	-7.422251999E-2	-7.901106775E-2	9.842864037E0	9.843460986E0
3.780678840E-1	-8.140534163E-2	-7.422251999E-2	9.835680962E0	9.836297870E0
3.800746170E-1	-7.422251999E-2	-7.422251999E-2	9.862017632E0	9.862576222E0
3.820759500E-1	-7.661679387E-2	-6.464541703E-2	9.871595383E0	9.872104363E0
3.840731160E-1	-7.422251999E-2	-6.464541703E-2	9.866806030E0	9.867296958E0
3.860744490E-1	-7.661679387E-2	-7.901106775E-2	9.847652435E0	9.848267430E0
3.880755150E-1	-6.464541703E-2	-7.661679387E-2	9.847652435E0	9.848162653E0
3.900768810E-1	-6.464541703E-2	-7.422251999E-2	9.857229233E0	9.857720637E0
3.920836810E-1	-6.225114316E-2	-7.422251999E-2	9.847652435E0	9.848128892E0
3.940850140E-1	-7.661679387E-2	-8.858817071E-2	9.840469360E0	9.841166355E0
3.960924800E-1	-7.182824612E-2	-7.901106775E-2	9.862017632E0	9.862595693E0
3.980938130E-1	-6.225114316E-2	-7.901106775E-2	9.862017632E0	9.862530594E0
4.000948460E-1	-6.943397224E-2	-7.901106775E-2	9.857229233E0	9.857790420E0
4.020934790E-1	-6.464541703E-2	-8.379961550E-2	9.854835510E0	9.855403814E0
4.040985790E-1	-7.182824612E-2	-8.619388938E-2	9.852440834E0	9.853079674E0
4.060999120E-1	-7.901106775E-2	-8.379961550E-2	9.864412308E0	9.865084658E0
4.081012450E-1	-6.943397224E-2	-7.422251999E-2	9.859623909E0	9.860147752E0
4.101028450E-1	-6.703969836E-2	-7.422251999E-2	9.869200706E0	9.869707487E0
4.121044780E-1	-6.225114316E-2	-8.140534163E-2	9.866806030E0	9.867338206E0
4.141054110E-1	-7.661679387E-2	-8.140534163E-2	9.847652435E0	9.848286930E0
