"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.180861120E-1	9.577099234E-3	-1.245022863E-1	9.794978142E0	9.795774055E0
4.200874780E-1	1.197137404E-2	-1.316851079E-1	9.802161217E0	9.803053035E0
4.220888110E-1	1.436564885E-2	-1.364736706E-1	9.816526413E0	9.817485536E0
4.240850440E-1	4.788549617E-3	-1.412622184E-1	9.811738014E0	9.812756025E0
4.260864100E-1	9.577099234E-3	-1.460507661E-1	9.816526413E0	9.817617499E0
4.280880100E-1	2.154847234E-2	-1.508393139E-1	9.799766541E0	9.800951030E0
4.300960100E-1	1.915419847E-2	-1.628106833E-1	9.804554939E0	9.805925339E0
4.320976100E-1	2.154847234E-2	-1.508393139E-1	9.804554939E0	9.805738850E0
4.340991100E-1	7.182824425E-3	-1.460507661E-1	9.804554939E0	9.805645312E0
4.361002100E-1	2.873129770E-2	-1.460507661E-1	9.797372818E0	9.798503480E0
4.381015430E-1	2.394274808E-2	-1.484450400E-1	9.804554939E0	9.805707865E0
4.401028760E-1	9.577099234E-3	-1.460507661E-1	9.787795067E0	9.788889356E0
4.421068420E-1	7.182824425E-3	-1.508393139E-1	9.792584419E0	9.793748705E0
4.441082080E-1	-2.394274808E-3	-1.508393139E-1	9.809344292E0	9.810504251E0
4.461059080E-1	-2.394274808E-3	-1.532335877E-1	9.809344292E0	9.810541356E0
4.481072410E-1	2.154847234E-2	-1.484450400E-1	9.794978142E0	9.796126636E0
4.501085070E-1	1.915419847E-2	-1.532335877E-1	9.799766541E0	9.800983199E0
4.521160070E-1	1.915419847E-2	-1.460507661E-1	9.797372818E0	9.798480078E0
4.541171400E-1	7.182824425E-3	-1.460507661E-1	9.799766541E0	9.800857446E0
4.561182060E-1	2.394274808E-3	-1.388679445E-1	9.792584419E0	9.793569301E0
4.581195390E-1	2.394274808E-3	-1.508393139E-1	9.799766541E0	9.800927634E0
4.601263390E-1	1.675992459E-2	-1.460507661E-1	9.823709488E0	9.824809404E0
4.621276720E-1	1.675992459E-2	-1.508393139E-1	9.811738014E0	9.812911711E0
4.641290050E-1	7.182824425E-3	-1.508393139E-1	9.806949615E0	9.808112196E0
4.661318050E-1	7.182824425E-3	-1.556278616E-1	9.792584419E0	9.793823627E0
4.681331380E-1	7.182824425E-3	-1.556278616E-1	9.790189743E0	9.791429254E0
4.701344710E-1	1.915419847E-2	-1.604164094E-1	9.787795067E0	9.789128285E0
4.721358370E-1	1.436564885E-2	-1.532335877E-1	9.804554939E0	9.805762819E0
4.741371700E-1	4.788549617E-3	-1.436564922E-1	9.799766541E0	9.800820597E0
4.761385030E-1	4.788549617E-3	-1.484450400E-1	9.814132690E0	9.815256457E0
4.781397690E-1	7.182824425E-3	-1.508393139E-1	9.821314812E0	9.822475692E0
4.801411020E-1	1.675992459E-2	-1.340793967E-1	9.809344292E0	9.810274900E0
4.821432020E-1	1.915419847E-2	-1.388679445E-1	9.806949615E0	9.807951466E0
4.841445680E-1	0.000000000E0	-1.532335877E-1	9.802161217E0	9.803358866E0
4.861523010E-1	9.577099234E-3	-1.436564922E-1	9.794978142E0	9.796036224E0
4.881536340E-1	2.394274808E-2	-1.484450400E-1	9.794978142E0	9.796132195E0
4.901498000E-1	2.394274808E-2	-1.532335877E-1	9.790189743E0	9.791418130E0
4.921511330E-1	1.197137404E-2	-1.484450400E-1	9.787795067E0	9.788928006E0
4.941525660E-1	1.675992459E-2	-1.484450400E-1	9.806949615E0	9.808087356E0
4.961541660E-1	2.154847234E-2	-1.484450400E-1	9.811738014E0	9.812884547E0
4.981557660E-1	1.197137404E-2	-1.436564922E-1	9.804554939E0	9.805614619E0
5.001570990E-1	-7.182824425E-3	-1.412622184E-1	9.809344292E0	9.810364012E0
5.021560650E-1	-4.788549617E-3	-1.532335877E-1	9.806949615E0	9.808147849E0
5.041573980E-1	4.788549617E-3	-1.556278616E-1	9.811738014E0	9.812973343E0
5.061587310E-1	1.675992459E-2	-1.484450400E-1	9.814132690E0	9.815269598E0
5.081600970E-1	1.197137404E-2	-1.556278616E-1	9.804554939E0	9.805797311E0
5.101616970E-1	2.154847234E-2	-1.484450400E-1	9.802161217E0	9.803308869E0
5.121568630E-1	1.675992459E-2	-1.436564922E-1	9.797372818E0	9.798440295E0
5.141582290E-1	1.915419847E-2	-1.412622184E-1	9.797372818E0	9.798409873E0
5.161598290E-1	2.394274808E-2	-1.484450400E-1	9.806949615E0	9.808102260E0
5.181645290E-1	1.197137404E-2	-1.532335877E-1	9.797372818E0	9.798578365E0
5.201606620E-1	0.000000000E0	-1.556278616E-1	9.804554939E0	9.805790003E0
5.221619950E-1	-4.788549617E-3	-1.604164094E-1	9.821314812E0	9.822625972E0
5.241636610E-1	0.000000000E0	-1.532335877E-1	9.804554939E0	9.805752296E0
5.261635610E-1	-2.394274808E-3	-1.532335877E-1	9.814132690E0	9.815329171E0
5.281648940E-1	-7.182824425E-3	-1.556278616E-1	9.821314812E0	9.822550395E0
5.301662270E-1	0.000000000E0	-1.556278616E-1	9.804554939E0	9.805790003E0
5.321675600E-1	4.788549617E-3	-1.436564922E-1	9.792584419E0	9.793639248E0
5.341688930E-1	1.197137404E-2	-1.412622184E-1	9.799766541E0	9.800791936E0
5.361702590E-1	1.915419847E-2	-1.388679445E-1	9.811738014E0	9.812739375E0
5.381718920E-1	9.577099234E-3	-1.484450400E-1	9.799766541E0	9.800895464E0
5.401732250E-1	1.915419847E-2	-1.484450400E-1	9.814132690E0	9.815273979E0
5.421735580E-1	2.873129770E-2	-1.436564922E-1	9.816526413E0	9.817619543E0
5.441748910E-1	2.873129770E-2	-1.484450400E-1	9.809344292E0	9.810509510E0
5.461698240E-1	1.436564885E-2	-1.604164094E-1	9.818921089E0	9.820241909E0
5.481711900E-1	0.000000000E0	-1.532335877E-1	9.809344292E0	9.810541064E0
5.501710560E-1	4.788549617E-3	-1.484450400E-1	9.794978142E0	9.796104106E0
