"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
3.004402495E0	-2.399999946E-1	2.292000008E1	-4.265999985E1	4.842788030E1
3.014466728E0	-5.399999619E-1	2.297999954E1	-4.241999817E1	4.824757220E1
3.024530928E0	-6.599999666E-1	2.327999878E1	-4.265999985E1	4.860318436E1
3.034595161E0	-5.999999642E-1	2.255999947E1	-4.193999863E1	4.762643237E1
3.044659361E0	-3.599999845E-1	2.273999977E1	-4.223999786E1	4.797347818E1
3.054723561E0	1.799999923E-1	2.250000000E1	-4.211999893E1	4.775329004E1
3.064787761E0	2.399999946E-1	2.207999992E1	-4.211999893E1	4.755710574E1
3.074851961E0	-2.399999946E-1	2.250000000E1	-4.223999786E1	4.785942979E1
3.084916194E0	-5.399999619E-1	2.213999939E1	-4.187999725E1	4.737515533E1
3.094980394E0	-7.799999714E-1	2.219999886E1	-4.205999756E1	4.756565719E1
3.105044594E0	-5.399999619E-1	2.243999863E1	-4.127999878E1	4.698812017E1
3.115108794E0	-4.199999869E-1	2.237999916E1	-4.134000015E1	4.701102397E1
3.125172994E0	-4.799999893E-1	2.273999977E1	-4.157999802E1	4.739445352E1
3.135237194E0	-8.999999762E-1	2.303999901E1	-4.152000046E1	4.749275726E1
3.145301360E0	-1.319999933E0	2.334000015E1	-4.241999817E1	4.843505189E1
3.155365560E0	-1.259999990E0	2.357999992E1	-4.229999924E1	4.844475133E1
3.165429726E0	-1.199999928E0	2.363999939E1	-4.205999756E1	4.826316365E1
3.175493959E0	-1.079999924E0	2.376000023E1	-4.218000031E1	4.842371771E1
3.185558159E0	-5.399999619E-1	2.345999908E1	-4.211999893E1	4.821573879E1
