"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.061517020E-1	2.873129770E-2	-1.149251908E-1	9.862017632E0	9.862729087E0
5.081530680E-1	2.873129770E-2	-1.221080124E-1	9.854835510E0	9.855633860E0
5.101492680E-1	3.112557158E-2	-1.101366431E-1	9.842864037E0	9.843529414E0
5.121506010E-1	3.830839694E-2	-1.245022863E-1	9.862017632E0	9.862877882E0
5.141519670E-1	4.549122229E-2	-1.197137386E-1	9.857229233E0	9.858061117E0
5.161533000E-1	2.154847234E-2	-1.316851079E-1	9.871595383E0	9.872497187E0
5.181546330E-1	3.112557158E-2	-1.268965602E-1	9.876383781E0	9.877248004E0
5.201559990E-1	3.112557158E-2	-1.149251908E-1	9.864412308E0	9.865130855E0
5.221573320E-1	1.915419847E-2	-1.268965602E-1	9.864412308E0	9.865247072E0
5.241586650E-1	2.873129770E-2	-1.173194647E-1	9.869200706E0	9.869939814E0
5.261600310E-1	3.112557158E-2	-1.221080124E-1	9.854835510E0	9.855641131E0
5.281628640E-1	3.830839694E-2	-1.245022863E-1	9.850046158E0	9.850907454E0
5.301641970E-1	3.591412306E-2	-1.316851079E-1	9.852440834E0	9.853386280E0
5.321655630E-1	2.873129770E-2	-1.292908341E-1	9.857229233E0	9.858118977E0
5.341616960E-1	2.873129770E-2	-1.149251908E-1	9.838075638E0	9.838788825E0
5.361630290E-1	2.394274808E-2	-1.149251908E-1	9.847652435E0	9.848352123E0
5.381643950E-1	2.394274808E-2	-1.101366431E-1	9.862017632E0	9.862661664E0
5.401657280E-1	2.873129770E-2	-1.221080124E-1	9.857229233E0	9.858027389E0
5.421684940E-1	2.394274808E-2	-1.221080124E-1	9.847652435E0	9.848438562E0
5.441698600E-1	2.154847234E-2	-1.340793967E-1	9.866806030E0	9.867740514E0
5.461711930E-1	3.351984918E-2	-1.412622184E-1	9.869200706E0	9.870268546E0
5.481725260E-1	4.070267081E-2	-1.221080124E-1	9.864412308E0	9.865252012E0
5.501738590E-1	3.351984918E-2	-1.292908341E-1	9.871595383E0	9.872498929E0
5.521758250E-1	4.309694469E-2	-1.221080124E-1	9.862017632E0	9.862867711E0
5.541771580E-1	4.309694469E-2	-1.316851079E-1	9.876383781E0	9.877355664E0
5.561784910E-1	3.591412306E-2	-1.340793967E-1	9.881172180E0	9.882147073E0
5.581798240E-1	2.873129770E-2	-1.221080124E-1	9.871595383E0	9.872392377E0
5.601811900E-1	1.915419847E-2	-1.197137386E-1	9.857229233E0	9.857974762E0
5.621825230E-1	2.394274808E-2	-1.197137386E-1	9.864412308E0	9.865167754E0
5.641838560E-1	1.915419847E-2	-1.053480953E-1	9.862017632E0	9.862598890E0
5.661852220E-1	2.394274808E-2	-1.125309169E-1	9.864412308E0	9.865083205E0
5.681865550E-1	3.112557158E-2	-1.101366431E-1	9.842864037E0	9.843529414E0
5.701878880E-1	3.112557158E-2	-1.149251908E-1	9.847652435E0	9.848372205E0
5.721892540E-1	3.591412306E-2	-1.197137386E-1	9.857229233E0	9.858021574E0
5.741905870E-1	2.394274808E-2	-1.077423692E-1	9.869200706E0	9.869817843E0
5.761919200E-1	3.112557158E-2	-1.173194647E-1	9.876383781E0	9.877129606E0
5.781932860E-1	3.830839694E-2	-1.221080124E-1	9.869200706E0	9.870030420E0
5.801946190E-1	3.830839694E-2	-1.149251908E-1	9.890748978E0	9.891490822E0
5.821957190E-1	3.591412306E-2	-1.149251908E-1	9.890748978E0	9.891481839E0
5.841970850E-1	3.351984918E-2	-1.197137386E-1	9.866806030E0	9.867589179E0
5.861984180E-1	1.436564885E-2	-1.268965602E-1	9.850046158E0	9.850873993E0
5.882003510E-1	2.394274808E-3	-1.460507661E-1	9.845257759E0	9.846341295E0
5.902017170E-1	7.182824425E-3	-1.340793967E-1	9.854835510E0	9.855750190E0
5.922030500E-1	1.915419847E-2	-1.197137386E-1	9.847652435E0	9.848398690E0
5.942057160E-1	1.915419847E-2	-1.197137386E-1	9.850046158E0	9.850792231E0
5.962070820E-1	2.873129770E-2	-1.197137386E-1	9.852440834E0	9.853209998E0
5.982084150E-1	2.394274808E-2	-1.245022863E-1	9.859623909E0	9.860439022E0
6.002123480E-1	2.633702382E-2	-1.316851079E-1	9.857229233E0	9.858143981E0
6.022122810E-1	2.154847234E-2	-1.292908341E-1	9.871595383E0	9.872465541E0
6.042136140E-1	2.873129770E-2	-1.197137386E-1	9.857229233E0	9.857998023E0
6.062158470E-1	3.591412306E-2	-1.268965602E-1	9.857229233E0	9.858111417E0
6.082172130E-1	3.351984918E-2	-1.292908341E-1	9.873989105E0	9.874892432E0
6.102185460E-1	2.873129770E-2	-1.364736706E-1	9.862017632E0	9.863003717E0
6.122154120E-1	3.591412306E-2	-1.316851079E-1	9.864412308E0	9.865356606E0
6.142167780E-1	4.788549617E-2	-1.173194647E-1	9.857229233E0	9.858043671E0
6.162181110E-1	4.549122229E-2	-1.197137386E-1	9.864412308E0	9.865243586E0
